District,Gender,Locality,Age ,Percentage,Economic Activity,District in Map
BAHAWALPUR DISTRICT,Male,Urban,75 & ABOVE,0.72%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Male,Urban,Between 10-14,2.43%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,10 & ABOVE,3.43%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,15 -  19,4.55%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,20 - 24,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,25 - 29,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,30 - 34,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,35 - 39,4.17%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,40 - 44,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,45 - 49,4.55%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,50 - 54,10.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,55 - 59,20.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,60 - 64,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,65 - 69,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,70 - 74,20.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,75 & ABOVE,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,10 & ABOVE,4.64%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,15 -  19,28.57%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,20 - 24,9.52%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,25 - 29,5.56%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,30 - 34,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,35 - 39,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,40 - 44,9.52%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,45 - 49,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,50 - 54,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,55 - 59,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,60 - 64,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,65 - 69,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,70 - 74,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,75 & ABOVE,0.00%,Seeking Work,Bahawalpur
BAHAWALPUR DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,Seeking Work,Bahawalpur
BHAKKAR DISTRICT,Female,Rural,10 & ABOVE,0.49%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,15 -  19,0.63%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,20 - 24,0.81%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,25 - 29,0.65%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,30 - 34,0.43%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,35 - 39,0.29%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,40 - 44,0.21%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,45 - 49,0.19%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,50 - 54,0.17%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,55 - 59,0.15%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,60 - 64,0.25%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,65 - 69,0.19%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,70 - 74,0.28%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,75 & ABOVE,0.48%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Rural,Between 10-14,0.64%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,10 & ABOVE,0.69%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,15 -  19,0.60%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,20 - 24,1.31%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,25 - 29,1.37%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,30 - 34,0.82%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,35 - 39,0.47%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,40 - 44,0.27%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,45 - 49,0.13%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,50 - 54,0.23%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,55 - 59,0.18%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,60 - 64,0.10%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,65 - 69,0.28%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,70 - 74,0.16%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,75 & ABOVE,0.33%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Female,Urban,Between 10-14,0.62%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,10 & ABOVE,3.93%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,15 -  19,6.80%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,20 - 24,9.18%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,25 - 29,6.35%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,30 - 34,3.99%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,35 - 39,2.60%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,40 - 44,1.89%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,45 - 49,1.50%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,50 - 54,1.18%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,55 - 59,0.89%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,60 - 64,0.75%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,65 - 69,0.61%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,70 - 74,0.56%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,75 & ABOVE,0.50%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Rural,Between 10-14,1.80%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,10 & ABOVE,3.59%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,15 -  19,5.64%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,20 - 24,7.52%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,25 - 29,5.83%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,30 - 34,3.36%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,35 - 39,2.06%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,40 - 44,1.66%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,45 - 49,1.21%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,50 - 54,1.07%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,55 - 59,1.08%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,60 - 64,1.13%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,65 - 69,1.52%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,70 - 74,0.82%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,75 & ABOVE,0.90%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Male,Urban,Between 10-14,2.18%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,10 & ABOVE,2.15%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,15 -  19,6.25%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,20 - 24,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,25 - 29,11.11%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,30 - 34,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,35 - 39,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,40 - 44,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,45 - 49,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,50 - 54,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,55 - 59,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,60 - 64,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,65 - 69,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,70 - 74,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,75 & ABOVE,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,10 & ABOVE,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,15 -  19,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,20 - 24,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,25 - 29,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,30 - 34,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,35 - 39,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,40 - 44,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,45 - 49,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,50 - 54,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,55 - 59,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,60 - 64,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,65 - 69,0.00%,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,70 - 74,#DIV/0!,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,75 & ABOVE,#DIV/0!,Seeking Work,Bhakkar
BHAKKAR DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,Seeking Work,Bhakkar
CHAKWAL DISTRICT,Female,Rural,10 & ABOVE,0.61%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,15 -  19,0.72%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,20 - 24,1.59%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,25 - 29,1.25%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,30 - 34,0.68%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,35 - 39,0.36%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,40 - 44,0.20%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,45 - 49,0.16%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,50 - 54,0.15%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,55 - 59,0.13%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,60 - 64,0.16%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,65 - 69,0.09%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,70 - 74,0.20%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,75 & ABOVE,0.33%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Rural,Between 10-14,0.35%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,10 & ABOVE,0.62%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,15 -  19,0.64%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,20 - 24,1.62%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,25 - 29,1.13%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,30 - 34,0.67%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,35 - 39,0.38%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,40 - 44,0.27%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,45 - 49,0.20%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,50 - 54,0.08%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,55 - 59,0.14%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,60 - 64,0.13%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,65 - 69,0.30%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,70 - 74,0.11%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,75 & ABOVE,0.39%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Female,Urban,Between 10-14,0.45%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,10 & ABOVE,7.17%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,15 -  19,14.04%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,20 - 24,24.32%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,25 - 29,13.66%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,30 - 34,7.09%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,35 - 39,3.98%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,40 - 44,2.29%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,45 - 49,1.36%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,50 - 54,0.89%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,55 - 59,0.78%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,60 - 64,0.47%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,65 - 69,0.40%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,70 - 74,0.28%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,75 & ABOVE,0.40%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Rural,Between 10-14,0.92%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,10 & ABOVE,4.57%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,15 -  19,6.04%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,20 - 24,13.88%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,25 - 29,9.20%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,30 - 34,4.66%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,35 - 39,3.13%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,40 - 44,1.95%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,45 - 49,1.48%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,50 - 54,1.09%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,55 - 59,0.84%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,60 - 64,0.82%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,65 - 69,0.38%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,70 - 74,0.55%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,75 & ABOVE,0.28%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Male,Urban,Between 10-14,1.16%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,10 & ABOVE,7.35%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,15 -  19,14.29%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,20 - 24,28.57%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,25 - 29,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,30 - 34,25.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,35 - 39,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,40 - 44,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,45 - 49,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,50 - 54,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,55 - 59,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,60 - 64,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,65 - 69,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,70 - 74,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,75 & ABOVE,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,10 & ABOVE,3.92%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,15 -  19,25.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,20 - 24,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,25 - 29,14.29%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,30 - 34,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,35 - 39,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,40 - 44,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,45 - 49,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,50 - 54,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,55 - 59,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,60 - 64,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,65 - 69,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,70 - 74,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,75 & ABOVE,0.00%,Seeking Work,Chakwal
CHAKWAL DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,Seeking Work,Chakwal
CHINIOT DISTRICT,Female,Rural,10 & ABOVE,0.42%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,15 -  19,0.55%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,20 - 24,0.72%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,25 - 29,0.54%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,30 - 34,0.45%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,35 - 39,0.25%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,40 - 44,0.23%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,45 - 49,0.16%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,50 - 54,0.15%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,55 - 59,0.18%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,60 - 64,0.21%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,65 - 69,0.19%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,70 - 74,0.28%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,75 & ABOVE,0.26%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Rural,Between 10-14,0.52%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,10 & ABOVE,0.43%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,15 -  19,0.53%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,20 - 24,0.70%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,25 - 29,0.50%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,30 - 34,0.34%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,35 - 39,0.31%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,40 - 44,0.19%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,45 - 49,0.18%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,50 - 54,0.11%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,55 - 59,0.22%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,60 - 64,0.17%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,65 - 69,0.25%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,70 - 74,0.27%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,75 & ABOVE,0.34%,Seeking Work,Chiniot
CHINIOT DISTRICT,Female,Urban,Between 10-14,0.61%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,10 & ABOVE,3.54%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,15 -  19,6.47%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,20 - 24,8.69%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,25 - 29,5.35%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,30 - 34,3.59%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,35 - 39,2.62%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,40 - 44,1.94%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,45 - 49,1.49%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,50 - 54,1.05%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,55 - 59,0.81%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,60 - 64,0.62%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,65 - 69,0.80%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,70 - 74,0.56%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,75 & ABOVE,0.73%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Rural,Between 10-14,1.89%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,10 & ABOVE,1.92%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,15 -  19,3.62%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,20 - 24,4.16%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,25 - 29,2.83%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,30 - 34,1.27%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,35 - 39,0.87%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,40 - 44,0.62%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,45 - 49,0.46%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,50 - 54,0.53%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,55 - 59,0.84%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,60 - 64,0.72%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,65 - 69,0.78%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,70 - 74,0.50%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,75 & ABOVE,0.38%,Seeking Work,Chiniot
CHINIOT DISTRICT,Male,Urban,Between 10-14,1.53%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,10 & ABOVE,5.06%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,15 -  19,11.11%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,20 - 24,25.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,25 - 29,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,30 - 34,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,35 - 39,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,40 - 44,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,45 - 49,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,50 - 54,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,55 - 59,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,60 - 64,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,65 - 69,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,70 - 74,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,75 & ABOVE,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,10 & ABOVE,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,15 -  19,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,20 - 24,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,25 - 29,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,30 - 34,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,35 - 39,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,40 - 44,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,45 - 49,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,50 - 54,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,55 - 59,0.00%,Seeking Work,Chiniot
CHINIOT DISTRICT,Transgender,Urban,60 - 64,0.00%,Seeking Work,Chiniot
